    np2    ns2
   1226   1597
 Face:           1
       435      1205       436
       969       968       770
       134       133       969
      1206       499      1207
       436      1206       437
       968       967       770
       133       968       969
      1207       499      1208
      1206      1207       437
       967       771       770
       132       967       968
       133       132       968
      1208       499      1209
      1207      1208       438
       437      1207       438
       967       966       771
       132       131       967
       499       498      1209
      1208      1209       439
       438      1208       439
       966       965       771
       131       966       967
      1209       498      1210
       439      1209       440
       965       772       771
       130       965       966
       131       130       966
      1210       498      1211
      1209      1210       440
       965       964       772
       130       129       965
       498       497      1211
      1210      1211       441
       440      1210       441
       964       963       772
       129       964       965
      1211       497      1212
       441      1211       442
       963       773       772
       128       963       964
       129       128       964
      1212       497      1213
      1211      1212       442
       963       962       773
       128       127       963
       497       496      1213
      1212      1213       444
       442      1212       443
       962       961       773
       127       962       963
      1213       496      1214
       444      1213       445
       443      1212       444
       961       774       773
       126       961       962
       127       126       962
      1214       496      1215
      1213      1214       445
       961       960       774
       126       125       961
       496       495      1215
      1214      1215       446
       445      1214       446
       960       959       774
       125       960       961
      1215       495      1216
       446      1215       447
       959       775       774
       124       959       960
       125       124       960
       495       494      1216
      1215      1216       448
       447      1215       448
       959       958       775
       124       123       959
      1216       494      1217
       448      1216       449
       958       776       775
       123       958       959
      1217       494      1218
      1216      1217       449
       958       957       776
       123       122       958
       494       493      1218
      1217      1218       452
       449      1217       450
       957       956       776
       122       957       958
       493       492      1218
       452      1218       453
       451      1217       452
       450      1217       451
       956       955       776
       121       956       957
       122       121       957
      1218       492      1219
      1218      1219       453
       955       777       776
       120       955       956
       121       120       956
       492       491      1219
       453      1219       454
       955       954       777
       120       119       955
       491       490      1219
       454      1219       455
       954       953       777
       119       954       955
       490       489      1219
      1219      1220       455
       953       778       777
       118       953       954
       119       118       954
      1219       489      1220
       455      1220       456
       953       952       778
       118       117       953
       489       488      1220
       456      1220       457
       952       779       778
       117       952       953
       488       487      1220
      1220      1221       457
       952       951       779
       117       116       952
      1220       487      1221
       457      1221       458
       951       950       779
       116       951       952
       487       486      1221
      1221      1222       458
       950       949       779
       115       950       951
       116       115       951
       485      1221       486
      1222       459       458
       485      1222      1221
       949       780       779
       114       949       950
       115       114       950
      1223       459      1222
       484      1222       485
       949       948       780
       114       113       949
       482      1223      1222
      1223       460       459
       483      1222       484
       948       947       780
       113       948       949
       482      1222       483
       481      1223       482
      1224       460      1223
       947       781       780
       112       947       948
       113       112       948
       480      1223       481
      1223       618      1224
       460      1224       461
       947       946       781
       112       111       947
       479      1223       480
       618       617      1224
       619       618      1223
      1224      1225       461
       946       945       781
       111       946       947
       479       620      1223
       617       616      1224
       620       619      1223
       461      1225       462
